source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;mirror_algorithm_id;mirror_tables;compare_tables;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order
10;obo;data_aggregator_processing_statistics;20;obo;;daps_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;data_authorities;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;data_signing_key_register;20;obo;;key_reference_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;database_patch_log;20;obo;;database_patch_log_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;datamodel_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;datamodel_version_tracking;20;obo;;dmvt_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;datamodels;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;dsrc_data_actionlist_matches;20;obo;;dsrcdalm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;dsrc_data_authenticator;20;obo;;dda_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;dsrc_data_vehicle;20;obo;;ddv_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;dsrc_mmi_codes;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;dsrc_raw_xml;20;obo;;dsrcrxml_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;enforcement_watch_list;20;obo;;enforcement_watch_list_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;enforcement_watch_list_datamap;20;obo;;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;;;
10;obo;engineering_data;20;obo;;engineering_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;engineering_data_links;20;obo;;engineering_data_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;engineering_data_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;euro_class_group;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;exemption_list;20;obo;;exemption_list_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;exemption_list_datamap;20;obo;;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;;;
10;obo;file;20;obo;;file_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;file_access_grants;20;obo;;file_access_grant_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;file_data_management_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;file_data_storage_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;file_data_storage_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;file_path;20;obo;;file_path_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;file_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;file_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;history_datamodel_version_tracking;20;obo;;history_event_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;history_event_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;history_managed_process_versions;20;obo;;history_event_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;hsm_register;20;obo;;hsm_register_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;hsm_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;hsm_to_device_map;20;obo;;hsm_register_id;;N;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;image;20;obo;;image_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;image_data_signatures;20;obo;;data_signature_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;image_encoding_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;image_roi;20;obo;;roi_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;image_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;image_view;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;imageanalysis_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;imageanalysis_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;imageanalysis_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
