source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;update_target_table_algorithm_id;update_target_table;compare_target_table;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order;source_db_etl_state_register_schema_name;source_db_etl_state_register_table_name
6;public;managed_object_environment;10;public;mon__managed_object_environment;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_object_state;10;public;mon__managed_object_state;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_object_state_event_publishing_queue;10;public;mon__managed_object_state_event_publishing_queue;aepq_id;publishing_queue_status_timestamp;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_object_type;10;public;mon__managed_object_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_objects;10;public;mon__managed_objects;managed_object_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_process_control;10;public;mon__managed_process_control;mpc_id;heartbeat_timestamp;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_process_register;10;public;mon__managed_process_register;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;managed_process_versions;10;public;mon__managed_process_versions;mpv_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;measurement_data;10;public;mon__measurement_data;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;mex_dedupe_pool_oboems_control_msg;10;public;mon__mex_dedupe_pool_oboems_control_msg;pool_item_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;mex_dedupe_pool_oboems_events;10;public;mon__mex_dedupe_pool_oboems_events;pool_item_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;mex_event_category;10;public;mon__mex_event_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;mex_track_oboems_control_msg;10;public;mon__mex_track_oboems_control_msg;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;mex_track_oboems_events;10;public;mon__mex_track_oboems_events;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;moc_allowed_child_classes;10;public;mon__moc_allowed_child_classes;mocacc_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;netxms_alarms;10;public;mon__netxms_alarms;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
